date,usage
2022-03-19,20.4
2022-03-20,19.6
2022-03-21,18.7
2022-03-22,17.2
2022-03-23,12.4
2022-03-24,10.8
2022-03-25,14.6
2022-03-26,18.8
2022-03-27,23.7
2022-03-28,16.9
2022-03-29,20.1
2022-03-30,24.0
2022-03-31,29.2
2022-04-01,29.2
2022-04-02,28.6
2022-04-03,25.1
2022-04-04,17.4
2022-04-05,9.64
2022-04-06,13.8
2022-04-07,16.9
2022-04-08,19.2
2022-04-09,19.2
2022-04-10,22.7
2022-04-11,11.5
2022-04-12,9.32
2022-04-13,12.1
2022-04-14,10.6
2022-04-15,3.01
2022-04-16,3.64
2022-04-17,3.24
2022-04-18,3.4
2022-04-19,4.47
2022-04-20,12.8
2022-04-21,10.7
2022-04-22,8.68
2022-04-23,15.0
2022-04-24,12.4
2022-04-25,11.9
2022-04-26,18.9
2022-04-27,14.2
2022-04-28,15.2
2022-04-29,12.5
2022-04-30,17.6
2022-05-01,14.2
2022-05-02,13.2
2022-05-03,10.3
2022-05-04,11.3
2022-05-05,10.7
2022-05-06,8.2
2022-05-07,8.65
2022-05-08,13.2
2022-05-09,9.64
2022-05-10,7.89
2022-05-11,10.5
2022-05-12,10.9
2022-05-13,9.04
2022-05-14,11.4
2022-05-15,10.9
2022-05-16,9.23
2022-05-17,7.93
2022-05-18,7.14
2022-05-19,7.35
2022-05-20,7.37
2022-05-21,9.61
2022-05-22,9.52
2022-05-23,7.49
2022-05-24,8.21
2022-05-25,9.14
2022-05-26,8.6
2022-05-27,4.65
2022-05-28,4.72
2022-05-29,7.5
2022-05-30,10.3
2022-05-31,10.4
2022-06-01,10.6
2022-06-02,10.9
2022-06-03,8.39
2022-06-04,10.9
2022-06-05,14.8
2022-06-06,12.7
2022-06-07,6.7
2022-06-08,7.79
2022-06-09,8.06
2022-06-10,8.28
2022-06-11,6.99
2022-06-12,4.65
2022-06-13,3.73
2022-06-14,3.53
2022-06-15,3.53
2022-06-16,3.53
2022-06-17,3.86
2022-06-18,5.42
2022-06-19,10.4
2022-06-20,7.52
2022-06-21,7.02
2022-06-22,9.61
2022-06-23,8.05
2022-06-24,9.59
2022-06-25,7.85
2022-06-26,9.51
2022-06-27,9.24
2022-06-28,7.57
2022-06-29,10.4
2022-06-30,7.63
2022-07-01,7.84
2022-07-02,7.28
2022-07-03,7.3
2022-07-04,7.8
2022-07-05,8.8
2022-07-06,7.39
2022-07-07,6.96
2022-07-08,8.35
2022-07-09,8.44
2022-07-10,13.3
2022-07-11,8.85
2022-07-12,6.94
2022-07-13,8.14
2022-07-14,6.66
2022-07-15,7.84
2022-07-16,8.17
2022-07-17,13.4
2022-07-18,8.83
2022-07-19,7.19
2022-07-20,9.74
2022-07-21,7.69
2022-07-22,6.12
2022-07-23,6.13
2022-07-24,12.3
2022-07-25,11.3
2022-07-26,8.44
2022-07-27,12.0
2022-07-28,8.1
2022-07-29,8.66
2022-07-30,8.71
2022-07-31,9.31
2022-08-01,9.01
2022-08-02,8.28
2022-08-03,9.0
2022-08-04,6.79
2022-08-05,7.29
2022-08-06,4.32
2022-08-07,6.0
2022-08-08,7.49
2022-08-09,6.61
2022-08-10,6.01
2022-08-11,6.58
2022-08-12,6.44
2022-08-13,6.47
2022-08-14,7.23
2022-08-15,7.97
2022-08-16,8.16
2022-08-17,3.51
2022-08-18,3.91
2022-08-19,3.6
2022-08-20,3.68
2022-08-21,3.58
2022-08-22,3.34
2022-08-23,3.9
2022-08-24,3.46
2022-08-25,3.96
2022-08-26,3.33
2022-08-27,3.31
2022-08-28,3.63
2022-08-29,7.22
2022-08-30,9.4
2022-08-31,8.24
2022-09-01,5.68
2022-09-02,6.86
2022-09-03,9.45
2022-09-04,10.4
2022-09-05,7.86
2022-09-06,6.58
2022-09-07,6.09
2022-09-08,6.95
2022-09-09,7.4
2022-09-10,4.64
2022-09-11,6.64
2022-09-12,8.65
2022-09-13,5.65
2022-09-14,7.89
2022-09-15,8.81
2022-09-16,13.3
2022-09-17,9.94
2022-09-18,13.2
2022-09-19,11.8
2022-09-20,9.94
2022-09-21,9.85
2022-09-22,9.66
2022-09-23,11.2
2022-09-24,9.89
2022-09-25,13.5
2022-09-26,18.0
2022-09-27,13.8
2022-09-28,5.33
2022-09-29,4.55
2022-09-30,6.51
2022-10-01,6.51
2022-10-02,13.0
2022-10-03,11.3
2022-10-04,8.12
2022-10-05,10.9
2022-10-06,11.0
2022-10-07,11.0
2022-10-08,12.8
2022-10-09,15.5
2022-10-10,13.8
2022-10-11,12.5
2022-10-12,14.4
2022-10-13,10.3
2022-10-14,9.94
2022-10-15,15.6
2022-10-16,12.1
2022-10-17,12.1
2022-10-18,10.5
2022-10-19,10.5
2022-10-20,9.28
2022-10-21,10.8
2022-10-22,11.0
2022-10-23,10.3
2022-10-24,16.2
2022-10-25,12.9
2022-10-26,16.3
2022-10-27,12.8
2022-10-28,12.9
2022-10-29,8.56
2022-10-30,10.4
2022-10-31,13.4
2022-11-01,14.2
2022-11-02,15.5
2022-11-03,15.9
2022-11-04,15.8
2022-11-05,14.5
2022-11-06,14.5
2022-11-07,18.3
2022-11-08,15.2
2022-11-09,14.9
2022-11-10,13.5
2022-11-11,10.6
2022-11-12,15.0
2022-11-13,9.16
2022-11-14,16.6
2022-11-15,17.6
2022-11-16,17.1
2022-11-17,18.2
2022-11-18,16.0
2022-11-19,19.1
2022-11-20,19.0
2022-11-21,25.1
2022-11-22,22.8
2022-11-23,22.4
2022-11-24,16.3
2022-11-25,19.4
2022-11-26,15.8
2022-11-27,14.8
2022-11-28,18.7
2022-11-29,20.9
2022-11-30,23.8
2022-12-01,24.4
2022-12-02,23.7
2022-12-03,29.4
2022-12-04,29.3
2022-12-05,25.9
2022-12-06,27.1
2022-12-07,37.2
2022-12-08,41.3
2022-12-09,46.5
2022-12-10,46.0
2022-12-11,48.9
2022-12-12,50.2
2022-12-13,52.0
2022-12-14,52.0
2022-12-15,48.70672673
2022-12-16,55.53
2022-12-17,40.77
2022-12-18,42.4876122
2022-12-19,12.4
2022-12-20,8.5
2022-12-21,15.6
2022-12-22,11.3
2022-12-23,13.6
2022-12-24,11.9
2022-12-25,12.5
2022-12-26,20.5
2022-12-27,15.8
2022-12-28,13.0
2022-12-29,13.4
2022-12-30,14.6
2022-12-31,12.8
2023-01-01,12.8
2023-01-02,26.7
2023-01-03,22.8
2023-01-04,22.1
2023-01-05,16.8
2023-01-06,20.5
2023-01-07,16.5
2023-01-08,27.4
2023-01-09,22.3
2023-01-10,27.8
2023-01-11,22.9
2023-01-12,17.0
2023-01-13,23.1
2023-01-14,24.1
2023-01-15,28.7
2023-01-16,38.8
2023-01-17,40.4
2023-01-18,37.1
2023-01-19,43.6
2023-01-20,35.8
2023-01-21,35.8
2023-01-22,39.8
2023-01-23,42.9
2023-01-24,37.7
2023-01-25,30.3
2023-01-26,24.4
2023-01-27,32.3
2023-01-28,31.1
2023-01-29,28.0
2023-01-30,25.2
2023-01-31,19.5
2023-02-01,23.1
2023-02-02,17.2
2023-02-03,20.8
2023-02-04,20.3
2023-02-05,24.0
2023-02-06,39.5
2023-02-07,35.8
2023-02-08,30.5
2023-02-09,30.5
2023-02-10,28.7
2023-02-11,21.4
2023-02-12,30.2
2023-02-13,19.0
2023-02-14,29.8
2023-02-15,29.9
2023-02-16,18.1
2023-02-17,14.7
2023-02-18,18.0
2023-02-19,21.0
2023-02-20,13.5
2023-02-21,24.2
2023-02-22,26.7
2023-02-23,22.0
2023-02-24,26.6
2023-02-25,27.3
2023-02-26,30.8
2023-02-27,26.8
2023-02-28,24.5
2023-03-01,22.7
2023-03-02,27.6
2023-03-03,26.4
2023-03-04,21.2
2023-03-05,26.8
2023-03-06,24.9
2023-03-07,25.0
2023-03-08,42.0
2023-03-09,36.8
2023-03-10,27.5
2023-03-11,31.4
2023-03-12,21.5
2023-03-13,16.9
2023-03-14,24.5
2023-03-15,33.7
2023-03-16,14.2
2023-03-17,19.1
2023-03-18,13.9
2023-03-19,17.0
2023-03-20,16.7
2023-03-21,13.8
2023-03-22,20.2
2023-03-23,14.2
2023-03-24,17.8
2023-03-25,14.1
2023-03-26,19.7
2023-03-27,22.5
2023-03-28,21.8
2023-03-29,17.7
